"Tweet id","Tweet permalink","Tweet text","time","impressions","engagements","engagement rate","retweets","replies","likes","user profile clicks","url clicks","hashtag clicks","detail expands","permalink clicks","app opens","app installs","follows","email tweet","dial phone","media views","media engagements","promoted impressions","promoted engagements","promoted engagement rate","promoted retweets","promoted replies","promoted likes","promoted user profile clicks","promoted url clicks","promoted hashtag clicks","promoted detail expands","promoted permalink clicks","promoted app opens","promoted app installs","promoted follows","promoted email tweet","promoted dial phone","promoted media views","promoted media engagements"
"1786649930704031939","https://twitter.com/hi_gaganthakur/status/1786649930704031939","I am not an advocate of Never Give Up Attitude 

I worked my ass off 4 years in MLM but failed

Glad I gave up

Giving up is not bad, but don’t stop

Get ready and start running 

You can still win

Let me prove my point https://t.co/ogPFPuO0wV","2024-05-04 06:51 +0000","50.0","4.0","0.08","0.0","0.0","2.0","0.0","0.0","0.0","1.0","0.0","0","0","0","0","0","14","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1786608701539049587","https://twitter.com/hi_gaganthakur/status/1786608701539049587","@erickoester Definitely the later one

Disclaimer: I love books","2024-05-04 04:08 +0000","10.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1786608310491459667","https://twitter.com/hi_gaganthakur/status/1786608310491459667","@AndrewWriteCopy Didn’t know about this, thank you","2024-05-04 04:06 +0000","22.0","5.0","0.22727272727272727","0.0","1.0","1.0","0.0","0.0","0.0","3.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1786607701776359919","https://twitter.com/hi_gaganthakur/status/1786607701776359919","@elonmuskADO No

You can’t just do everything 

If you do that, you will be boring","2024-05-04 04:04 +0000","373.0","5.0","0.013404825737265416","0.0","0.0","1.0","2.0","0.0","0.0","2.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1786607513602752744","https://twitter.com/hi_gaganthakur/status/1786607513602752744","@INDmoneyApp Good info, I didn’t know that","2024-05-04 04:03 +0000","1077.0","1.0","9.285051067780873E-4","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1786606861191373274","https://twitter.com/hi_gaganthakur/status/1786606861191373274","@AlexFinnX I have started doing the same

Either you can complain about the quality of content on X

Or start blocking those who talk shit 💩","2024-05-04 04:00 +0000","11.0","1.0","0.09090909090909091","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1786465461233750218","https://twitter.com/hi_gaganthakur/status/1786465461233750218","@SotoStrategiez Go back to sleep","2024-05-03 18:38 +0000","132.0","9.0","0.06818181818181818","0.0","2.0","6.0","0.0","0.0","0.0","1.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1786448766276350377","https://twitter.com/hi_gaganthakur/status/1786448766276350377","I was looking at my statistics and I can clearly see

Open rate is directly proportional to your subject line","2024-05-03 17:32 +0000","95.0","9.0","0.09473684210526316","0.0","1.0","3.0","1.0","0.0","0.0","4.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1786335194108055660","https://twitter.com/hi_gaganthakur/status/1786335194108055660","@MindMineMao Agree

I am a big advocate of Frameworks too","2024-05-03 10:01 +0000","6.0","2.0","0.3333333333333333","0.0","1.0","1.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1786333005696409827","https://twitter.com/hi_gaganthakur/status/1786333005696409827","@ddeutsch Always a pleasure","2024-05-03 09:52 +0000","2.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
